sku,name,category,description,color,width_cm,depth_cm,height_cm,image_url,product_url
10543812,INFORMA LAMPU MEJA LED RECHARGEABLE - PUTIH,LIGHTING,"<ul>
<li>Tap control</li>
<li>Fitur lampu & Jam</li>
<li>Terdapat tempat penyimpanan alat tulis</li>
<li>Portable light</li>
<li>Penggunaan indoor danjaukan dari air </li>
<li>Warna lampu : natural white</li>
<li>Kapasitas baterai : 2400 mAh</li>
<li>Usia pemakaian produk : 2 tahun</li>
</ul>",PUTIH,47.0,64.0,4.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10543812_1.jpg,https://www.ruparupa.com/p/informa-23x14x51-cm-lampu-meja-led-putih.html
10543813,INFORMA LAMPU MEJA LED RECHARGEABLE DENGAN JAM DIGITAL - PUTIH,LIGHTING,"<ul>
<li>Kecerahan dapat disesuaikan</li>
<li>Port USB charger</li>
<li>Terdapat tempat penyimpanan alat tulis</li>
<li>Termasuk kabel USB</li>
<li>Portable light</li>
<li>Penggunaan indoor danjaukan dari air </li>
<li>Warna lampu : putih</li>
<li>Kapasitas baterai : 3000 mAh</li>
<li>Usia pemakaian produk : 2 tahun</li>
</ul>",PUTIH,46.0,57.0,6.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10543813_1.jpg,https://www.ruparupa.com/p/informa-33x11x38-cm-lampu-meja-led-dengan-jam-digital-putih.html
10543814,INFORMA LAMPU MEJA LED RECHARGEABLE SENTUH - GOLD,LIGHTING,"<ul>
<li>Termasuk kabel USB</li>
<li>All night companion</li>
<li>Portable light</li>
<li>Penggunaan indoor danjaukan dari air </li>
<li>Warna lampu : putih</li>
<li>Kapasitas baterai : 1800 mAh</li>
<li>Usia pemakaian produk : 2 tahun</li>
</ul>",GOLD,30.0,41.0,2.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10543814_1.jpg,https://www.ruparupa.com/p/informa-21x9-cm-lampu-meja-led-sentuh-gold.html
10543815,INFORMA LAMPU MEJA LED RECHARGEABLE TOUCH MINI - GOLD,LIGHTING,"<ul>
<li>Tap control</li>
<li>Termasuk kabel USB</li>
<li>All night companion</li>
<li>Portable light</li>
<li>Penggunaan indoor danjaukan dari air </li>
<li>Warna lampu : putih</li>
<li>Kapasitas baterai : 1800 mAh</li>
<li>Usia pemakaian produk : 2 tahun</li>
</ul>",GOLD,2.2,3.1,2.6,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10543815_1.jpg,https://www.ruparupa.com/p/informa-14x9-cm-lampu-meja-led-touch-mini-gold.html
10543816,INFORMA LAMPU MEJA LED RECHARGEABLE TOUCH ROUND - GOLD,LIGHTING,"<ul>
<li>Tap control</li>
<li>All night companion</li>
<li>Portable light</li>
<li>Penggunaan indoor danjaukan dari air </li>
<li>Warna lampu : putih</li>
<li>Kapasitas baterai : 1800 mAh</li>
<li>Usia pemakaian produk : 2 tahun</li>
</ul>",GOLD,30.0,38.0,2.5,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10543816_1.jpg,https://www.ruparupa.com/p/informa-28x10-cm-lampu-meja-led-touch-round-gold.html
10544374,INFORMA 9X14X10 CM LAMPU TIDUR 7 WARNA CAT,LIGHTING,"<ul>
<li>Lampu tidur portable dengan tap control</li>
<li>Fitur timer</li>
<li>BPA free</li>
<li>Kecerahan cahaya dapat disesuaikan</li>
<li>Cocok untuk penggunaan di dalam ruangan (jauhkan dari air)</li>
<li>Warna lampu : natural white atauwarna-warni</li>
<li>Kapasitas baterai : 1200 mAh</li>
</ul>",NATURAL,42.0,44.0,1.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10544374_1.jpg,https://www.ruparupa.com/p/informa-9x14x10-cm-lampu-tidur-7-warna-cat.html
10544608,INFORMA 90X120 CM HIASAN DINDING 3D TT92 - HITAM,Home Decore,"<ul>
<li>Hiasan dinding desain 3D yang dekoratif</li>
<li>Memiliki detail sempurna</li>
<li>Meningkatkan aksen estetis pada ruangan</li>
<li>Cocok untuk dekorasi di hunian pribadi atau area komersial</li>
</ul>",HITAM,96.0,125.0,8.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10544608_1.jpg,https://www.ruparupa.com/p/informa-90x120-cm-hiasan-dinding-3d-tt92-hitam.html
10544609,INFORMA 90X120 CM HIASAN DINDING 3D TT93 - PUTIH,Home Decore,"<ul>
<li>Hiasan dinding desain 3D yang dekoratif</li>
<li>Memiliki detail sempurna</li>
<li>Meningkatkan aksen estetis pada ruangan</li>
<li>Cocok untuk dekorasi di hunian pribadi atau area komersial</li>
</ul>",PUTIH,97.0,125.0,8.0,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10544609_1.jpg,https://www.ruparupa.com/p/informa-90x120-cm-hiasan-dinding-3d-tt93-putih.html
10544610,INFORMA 50X50 CM SET 4 PCS HIASAN DINDING 3D TT50,Home Decore,"<ul>
<li>Hiasan dinding desain 3D yang dekoratif</li>
<li>Memiliki detail sempurna</li>
<li>Meningkatkan aksen estetis pada ruangan</li>
<li>Cocok untuk dekorasi di hunian pribadi atau area komersial</li>
</ul>",none,19.9,55.5,55.7,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10544610_1.jpg,https://www.ruparupa.com/p/informa-50x50-cm-set-4-pcs-hiasan-dinding-3d-tt50.html
10544611,INFORMA 50X100 CM SET 2 PCS HIASAN DINDING OIL PAINTING TT39,Home Decore,"<ul>
<li>Menambah nilai estetika ruangan</li>
<li>Cocok diletakkan di dinding hunian pribadi atau area komersial</li>
</ul>",none,57.0,105.0,11.5,https://cdn.ruparupa.io/fit-in/1000x1000/filters:format(webp)/filters:quality(90)/ruparupa-com/image/upload/Products/10544611_1.jpg,https://www.ruparupa.com/p/informa-50x100-cm-set-2-pcs-hiasan-dinding-oil-painting-tt39.html
